Date,Open,High,Low,Close,Adj Close,Volume,Change
1-Jan-23,30.24,31.29,29.6,30.32,29.26,"20,527,622",0.952473958
1-Dec-22,29.95,31.8,29.6,30.24,29.18,"31,704,439",0.997265892
1-Nov-22,27.33,29.9,27.11,29.69,28.65,"23,839,004",0.981836875
1-Oct-22,29.7,30,26.54,27.05,26.1,"19,344,219",0.910994764
1-Sep-22,30.28,30.97,28.48,29.7,28.66,"33,989,022",1.098084291
1-Aug-22,27.43,32.33,26.08,30.52,29.45,"67,430,017",1.02756455
13-Jul-22,0.45 Dividend,,,,,,
1-Jul-22,29.88,30.28,27.31,27.47,26.08,"28,424,637",0.885568761
1-Jun-22,28.18,30.19,27.88,29.74,28.24,"37,639,053",1.082822086
1-May-22,26.5,28.3,25.94,28.2,26.77,"32,485,243",0.947946176
1-Apr-22,27.5,29.06,24.8,26.5,25.16,"28,577,103",0.93985805
1-Mar-22,29.76,30.43,26.12,27.65,26.25,"42,114,586",1.043322734
1-Feb-22,30.46,31.75,29.33,29.76,28.26,"27,694,806",1.076571429
1-Jan-22,31.86,34.43,30.02,30.46,28.92,"67,521,142",1.023354565
1-Dec-21,30.92,33.41,30.75,31.86,30.25,"64,937,520",1.045988935
1-Nov-21,31.65,33.52,30.73,30.83,29.27,"48,083,681",0.967603306
1-Oct-21,32.48,34.47,30.13,31.53,29.94,"45,850,012",1.022890331
1-Sep-21,31.02,34.09,30.73,32.48,30.84,"63,293,875",1.03006012
1-Aug-21,30.82,33.14,30.32,31.02,29.45,"59,280,953",0.954928664
13-Jul-21,0.40 Dividend,,,,,,
1-Jul-21,37.18,37.25,30.8,30.92,29.02,"81,740,476",0.985398981
1-Jun-21,39.41,44.2,36.18,37.14,34.85,"114,703,859",1.200895934
1-May-21,36.95,41.23,35.99,39.59,37.15,"115,840,631",1.065997131
1-Apr-21,32.71,38.5,30.81,36.95,34.67,"101,765,914",0.933243607
1-Mar-21,32.77,35.78,30.09,32.4,30.4,"83,206,088",0.876838766
1-Feb-21,37,37.75,31.91,32.44,30.44,"55,349,325",1.001315789
1-Jan-21,43.6,47.91,36.9,37.3,35,"116,498,367",1.149802891
1-Dec-20,38.53,51.69,36.72,43.6,40.91,"246,721,328",1.168857143
1-Nov-20,33.01,40.29,32.95,38.61,36.23,"161,310,000",0.885602542
1-Oct-20,30.71,35.66,30.71,33,30.97,"67,107,810",0.85481645
1-Sep-20,39.16,42.27,29.88,30.71,28.82,"106,158,260",0.930577979
1-Aug-20,34.03,41.13,30.36,39.19,36.78,"129,039,904",1.276197085
10-Jul-20,0.70 Dividend,,,,,,
1-Jul-20,34,38.68,32.19,33.97,31.25,"125,038,838",0.849646547
1-Jun-20,29.11,35.48,27.08,34.14,31.41,"80,134,281",1.00512
1-May-20,24.27,29.41,23.66,28.86,26.55,"97,496,907",0.845272206
1-Apr-20,23.47,25.92,22.9,24.27,22.33,"45,848,503",0.841054614
1-Mar-20,24.35,25.7,21.68,23.39,21.52,"48,086,790",0.963725929
1-Feb-20,24.66,25.83,23.76,24.22,22.28,"41,094,807",1.035315985
1-Jan-20,28.7,29.3,27.16,27.39,25.2,"27,789,884",1.131059246
1-Dec-19,27.38,28.87,27.02,28.7,26.4,"22,692,982",1.047619048
1-Nov-19,28.46,29.24,27.2,27.35,25.16,"17,661,729",0.953030303
1-Oct-19,30.05,31.06,28.21,28.46,26.18,"21,407,450",1.040540541
1-Sep-19,28.81,31.53,28.6,30.05,27.64,"40,347,735",1.055767762
1-Aug-19,29.79,30.06,27.54,28.89,26.58,"30,566,128",0.961649783
8-Jul-19,0.60 Dividend,,,,,,
1-Jul-19,32.45,33.68,29.33,29.8,26.91,"42,382,258",1.01241535
1-Jun-19,28.8,32.65,28.01,32.12,29,"37,259,955",1.077666295
1-May-19,29.43,29.6,27.64,28.84,26.04,"38,077,142",0.897931034
1-Apr-19,31.95,34.19,28.75,29.43,26.57,"81,413,587",1.020353303
1-Mar-19,29.5,32.4,28.78,31.97,28.87,"89,146,266",1.086563794
1-Feb-19,26.06,30.29,26.06,29.46,26.6,"39,445,951",0.921371666
1-Jan-19,26,27.25,24.85,26.02,23.49,"28,462,801",0.883082707
1-Dec-18,27.95,28.49,25.81,26,23.48,"26,088,466",0.999574287
1-Nov-18,28.57,30,27,27.43,24.77,"26,534,012",1.054940375
1-Oct-18,36.62,36.62,26.9,28.34,25.59,"18,378,078",1.033104562
1-Sep-18,36.5,37.7,34.35,36.62,33.07,"18,257,567",1.29230168
1-Aug-18,43.05,43.35,34.98,36.53,32.98,"30,491,259",0.9972785
9-Jul-18,0.50 Dividend,,,,,,
1-Jul-18,40.06,43.22,38.4,43,38.34,"41,239,490",1.162522741
1-Jun-18,45.5,46.29,37.8,39.86,35.54,"56,430,292",0.926969223
1-May-18,37.55,46.57,37.25,45.83,40.87,"74,163,221",1.149971863
1-Apr-18,38.65,39.5,36.08,37.55,33.48,"32,734,633",0.819182775
1-Mar-18,35.66,39.15,35.22,38.57,34.39,"40,541,472",1.027180406
1-Feb-18,38.44,38.44,34.08,35.75,31.88,"28,884,667",0.927013667
1-Jan-18,37.5,41.06,37.5,38.54,34.37,"78,752,316",1.078105395
1-Dec-17,34.57,39.31,33.7,37.5,33.44,"56,355,176",0.972941519
1-Nov-17,39.6,40.39,34.29,34.56,30.82,"65,387,834",0.921650718
1-Oct-17,37.5,41.39,37.28,39.63,35.34,"86,257,495",1.146658014
1-Sep-17,35.48,38.66,35.01,37.5,33.44,"58,414,580",0.946236559
1-Aug-17,35.16,37.48,34.03,35.48,31.64,"69,573,281",0.946172249
11-Jul-17,0.50 Dividend,,,,,,
1-Jul-17,37.22,37.4,33.46,35.26,31,"50,933,605",0.97977244
1-Jun-17,33.52,38.17,33.48,37.2,32.71,"46,381,175",1.05516129
